Year,Month,Country,Exchange Rate
1989,1,Albania,114.6361621
1989,1,Algeria,73.72035138
1989,1,Angola,55903.92368
1989,1,Antigua and Barbuda,2.692481716
1989,1,Argentina,4.704673545
1989,1,Armenia,449.626743
1989,1,Australia,1.14881
1989,1,Austria,0.874694
1989,1,Azerbaijan,0.970411732
1989,1,Bahamas,0.99999226
1989,1,Bahrain,0.378
1989,1,Bangladesh,62.7871119
1989,1,Barbados,1.998990559
1989,1,Belarus,5354.883447
1989,1,Belgium,0.874694
1989,1,Belize,2
1989,1,Benin,551.610659
1989,1,Bhutan,15.07864
1989,1,Bolivia,6.629780667
1989,1,Bosnia and Herzegovina,1.642911797
1989,1,Botswana,6.180318246
1989,1,Brazil,1.983193068
1989,1,Brunei Darussalam,1.500426258
1989,1,Bulgaria,1.434659141
1989,1,Burkina Faso,551.610659
1989,1,Burundi,1021.712858
1989,1,Cabo Verde,92.57922452
1989,1,Cambodia,4034.464425
1989,1,Cameroon,551.610659
1989,1,Canada,1.191909
1989,1,Central African Republic,551.610659
1989,1,Chad,551.610659
1989,1,Chile,247.1382
1989,1,China,3.731
1989,1,Colombia,1986.618289
1989,1,Comoros,417.8260062
1989,1,"Congo, Dem. Rep.",538.5726478
1989,1,"Congo, Rep.",551.610659
1989,1,Costa Rica,422.4495483
1989,1,Cote d'Ivoire,548.3966271
1989,1,Croatia,6.300499951
1989,1,Cyprus,0.874694
1989,1,Czech Republic,25.61187971
1989,1,Denmark,7.106364
1989,1,Developing Asia,191.0076
1989,1,Developing Countries,1115.485298
1989,1,Djibouti,177.7208018
1989,1,Dominica,2.7
1989,1,Dominican Republic,30.05750568
1989,1,East Asia & Pacific developing,264.0013
1989,1,Ecuador,1
1989,1,"Egypt, Arab Rep.",6.212536196
1989,1,El Salvador,8.744500549
1989,1,Equatorial Guinea,551.610659
1989,1,Eritrea,14.6007273
1989,1,Estonia,0.874694
1989,1,Ethiopia,12.18296713
1989,1,Europe & Central Asia developing,223.7822042
1989,1,Fiji,1.810772325
1989,1,Finland,0.874694
1989,1,France,0.874694
1989,1,Gabon,551.610659
1989,1,"Gambia, The",25.10824024
1989,1,Georgia,1.849239466
1989,1,Germany,0.874694
1989,1,Ghana,1.476862391
1989,1,Greece,0.874694
1989,1,Grenada,2.7
1989,1,Guatemala,7.350540386
1989,1,Guinea,-3639.124047
1989,1,Guinea-Bissau,551.610659
1989,1,Guyana,200.4728507
1989,1,Haiti,35.31450706
1989,1,High Income Countries,35.41262
1989,1,High Income: Non-OECD,3.029721
1989,1,High income: OECD,37.1649
1989,1,Honduras,17.17472642
1989,1,"Hong Kong SAR, China",7.805545
1989,1,Hungary,214.5341875
1989,1,Iceland,91.12406831
1989,1,India,15.07864
1989,1,Indonesia,8432.51628
1989,1,"Iran, Islamic Rep.",11211.29204
1989,1,Iraq,1411.972134
1989,1,Ireland,0.874694
1989,1,Israel,1.685
1989,1,Italy,0.874694
1989,1,Jamaica,64.2044896
1989,1,Japan,127.2977
1989,1,Jordan,0.529432
1989,1,Kazakhstan,156.0416318
1989,1,Kenya,18.71409
1989,1,Kiribati,1.32471505
1989,1,"Korea, Rep.",685.4045
1989,1,Kuwait,0.284955
1989,1,Kyrgyz Republic,42.96917452
1989,1,"Lao, PDR",8920.226203
1989,1,Latin America & Caribbean developing,511.6892973
1989,1,Latvia,0.874694
1989,1,Lebanon,1528.585814
1989,1,Lesotho,2.3855
1989,1,Liberia,70.56122249
1989,1,Libya,1.213334374
1989,1,Lithuania,0.874694
1989,1,Low Income,374.2909135
1989,1,Luxembourg,0.874694
1989,1,"Macedonia, FYR",51.75614104
1989,1,Madagascar,1828.710371
1989,1,Malawi,202.4392599
1989,1,Malaysia,2.722182
1989,1,Maldives,13.41858826
1989,1,Mali,551.610659
1989,1,Malta,0.874694
1989,1,Mauritania,250.3789402
1989,1,Mauritius,28.0894318
1989,1,Mexico,2.282318
1989,1,"Micronesia, Fed. Sts.",1
1989,1,Middle East & N. Africa developing,4449.610023
1989,1,Middle Income Countries,1124.759955
1989,1,"Moldova, Rep.",12.00917429
1989,1,Mongolia,1248.81483
1989,1,Montenegro,0.840925014
1989,1,Morocco,8.371591
1989,1,Mozambique,26.24763442
1989,1,Myanmar,363.8905312
1989,1,Namibia,2.3855
1989,1,Nepal,76.82699508
1989,1,Netherlands,0.874694
1989,1,New Zealand,1.596001
1989,1,Nicaragua,17.7718675
1989,1,Niger,551.610659
1989,1,Nigeria,136.4662041
1989,1,Norway,6.678818
1989,1,Oman,0.385909
1989,1,Pakistan,18.91386
1989,1,Panama,1
1989,1,Papua New Guinea,2.565241435
1989,1,Paraguay,4337.373804
1989,1,Peru,2.965802813
1989,1,Philippines,42.64784068
1989,1,Poland,3.304751291
1989,1,Portugal,0.874694
1989,1,Qatar,3.642
1989,1,Romania,0.001
1989,1,Russian Federation,29.27477707
1989,1,Rwanda,509.5749232
1989,1,Samoa,2.441753243
1989,1,San Marino,0.840925014
1989,1,Sao Tome and Principe,15.127392
1989,1,Saudi Arabia,3.752
1989,1,Senegal,551.610659
1989,1,Serbia,77.12087336
1989,1,Seychelles,8.528145654
1989,1,Sierra Leone,3739.520348
1989,1,Singapore,1.941273
1989,1,Slovakia,0.874694
1989,1,Slovenia,0.874694
1989,1,Solomon Islands,6.361522765
1989,1,South Africa,2.3855
1989,1,South Asia developing,16.25547
1989,1,South Sudan,35.26552738
1989,1,Spain,0.874694
1989,1,Sri Lanka,33.13114
1989,1,St. Kitts and Nevis,2.7
1989,1,St. Lucia,2.7
1989,1,St. Vincent and the Grenadines,2.7
1989,1,Sub-Saharan Africa developing,5937.323453
1989,1,Sudan,3.455568801
1989,1,Suriname,3.431623396
1989,1,Swaziland,2.3855
1989,1,Sweden,6.268909
1989,1,Switzerland,1.560364
1989,1,Syrian Arab Republic,95.42193548
1989,1,"Taiwan, China",27.92
1989,1,Tajikistan,4.3625181
1989,1,"Tanzania, United Rep.",125.6875
1989,1,Thailand,25.30182
1989,1,Timor-Leste,1
1989,1,Togo,551.610659
1989,1,Tonga,1.136364
1989,1,Trinidad and Tobago,6.24105732
1989,1,Tunisia,0.92125
1989,1,Turkey,0.002
1989,1,Turkmenistan,5200
1989,1,Uganda,2020.334933
1989,1,Ukraine,8.713322459
1989,1,United Arab Emirates,3.675
1989,1,United Kingdom,0.562866
1989,1,United States,1
1989,1,Uruguay,19.16851088
1989,1,Uzbekistan,1566.807376
1989,1,Vanuatu,112.8264538
1989,1,"Venezuela, RB",2623.858215
1989,1,Vietnam,16732.63833
1989,1,West Bank and Gaza,1
1989,1,World (WBG members),77.67523
1989,1,"Yemen, Rep.",171.3643184
1989,1,Zambia,4.615924576
1989,1,Zimbabwe,316.1700085
1989,2,Albania,114.6361621
1989,2,Algeria,73.72035138
1989,2,Angola,55903.92368
1989,2,Antigua and Barbuda,2.692481716
1989,2,Argentina,4.704673545
1989,2,Armenia,449.626743
1989,2,Australia,1.169614
1989,2,Austria,0.88321
1989,2,Azerbaijan,0.970411732
1989,2,Bahamas,0.99999226
1989,2,Bahrain,0.378
1989,2,Bangladesh,62.7871119
1989,2,Barbados,1.998990559
1989,2,Belarus,5354.883447
1989,2,Belgium,0.88321
1989,2,Belize,2
1989,2,Benin,551.610659
1989,2,Bhutan,15.236
1989,2,Bolivia,6.629780667
1989,2,Bosnia and Herzegovina,1.642911797
1989,2,Botswana,6.180318246
1989,2,Brazil,1.983193068
1989,2,Brunei Darussalam,1.500426258
1989,2,Bulgaria,1.434659141
1989,2,Burkina Faso,551.610659
1989,2,Burundi,1021.712858
1989,2,Cabo Verde,92.57922452
1989,2,Cambodia,4034.464425
1989,2,Cameroon,551.610659
1989,2,Canada,1.18925
1989,2,Central African Republic,551.610659
1989,2,Chad,551.610659
1989,2,Chile,245.85
1989,2,China,3.731
1989,2,Colombia,1986.618289
1989,2,Comoros,417.8260062
1989,2,"Congo, Dem. Rep.",538.5726478
1989,2,"Congo, Rep.",551.610659
1989,2,Costa Rica,422.4495483
1989,2,Cote d'Ivoire,548.3966271
1989,2,Croatia,6.300499951
1989,2,Cyprus,0.88321
